Date,Open,High,Low,Close,Adj Close,Volume
2015-12-14,23.920000,24.809999,23.840000,24.370001,23.072931,621600
2015-12-21,24.480000,24.850000,24.010000,24.400000,23.101334,230800
2015-12-28,24.360001,24.920000,23.730000,24.100000,22.817299,346200
2016-01-04,23.850000,23.850000,22.420000,22.590000,21.387667,472200
2016-01-11,22.670000,22.809999,21.820000,22.200001,21.018427,711300
2016-01-18,22.450001,22.639999,21.129999,22.120001,20.942680,409500
2016-01-25,22.080000,22.430000,21.709999,22.190001,21.008957,384400
2016-02-01,22.309999,22.740000,20.820000,20.900000,19.787615,617300
2016-02-08,20.730000,21.209999,19.879999,20.410000,19.323696,385100
2016-02-15,20.639999,22.250000,20.320000,21.070000,19.972738,572900
2016-02-22,21.209999,21.480000,19.030001,20.690001,19.612528,716000
2016-02-29,20.580000,21.010000,20.270000,20.799999,19.716803,401100
2016-03-07,20.740000,20.990000,20.200001,20.799999,19.716803,479400
2016-03-14,20.799999,21.150000,20.180000,20.969999,19.877947,433200
2016-03-21,20.840000,21.020000,20.400000,20.670000,19.593569,417500
2016-03-28,20.690001,21.740000,20.570000,21.700001,20.569929,514300
2016-04-04,21.719999,21.940001,21.250000,21.530001,20.408785,418400
2016-04-11,21.629999,22.389999,21.320000,21.850000,20.712116,697900
2016-04-18,21.709999,23.750000,21.670000,23.360001,22.143484,744200
2016-04-25,23.299999,24.940001,23.170000,24.430000,23.157759,813500
2016-05-02,24.549999,24.549999,23.370001,23.709999,22.475258,631600
2016-05-09,23.629999,24.080000,23.309999,23.530001,22.304630,304900
2016-05-16,23.500000,23.990000,22.830000,23.350000,22.157349,548300
2016-05-23,23.290001,23.389999,22.680000,23.209999,22.024496,782500
2016-05-30,23.309999,23.879999,23.180000,23.400000,22.204786,239500
2016-06-06,23.350000,23.580000,22.950001,23.049999,21.872669,182100
2016-06-13,23.000000,23.059999,22.299999,22.370001,21.227402,430000
2016-06-20,22.530001,22.900000,22.110001,22.620001,21.464632,699900
2016-06-27,22.340000,23.709999,21.969999,23.280001,22.090921,413900
2016-07-04,23.139999,24.170000,22.950001,24.049999,22.821594,418500
2016-07-11,24.170000,24.700001,23.809999,24.320000,23.077803,365000
2016-07-18,24.410000,24.969999,24.040001,24.889999,23.618685,386500
2016-07-25,24.780001,24.870001,24.110001,24.309999,23.068312,366700
2016-08-01,24.430000,24.430000,23.230000,23.700001,22.489470,390300
